tweet_id,favorites,retweets,user_followers,user_favourites,date_time
860981674716409858,0,2267,6742839,133084,2017-05-06 22:16:42
860924035999428608,0,856,6742839,133084,2017-05-06 18:27:40
860563773140209665,7723,2267,6742839,133084,2017-05-05 18:36:06
860524505164394496,24276,5545,6742839,133084,2017-05-05 16:00:04
860276583193509888,18820,3651,6742839,133084,2017-05-04 23:34:55
860184849394610176,17169,6148,6742839,133084,2017-05-04 17:30:24
860177593139703809,0,32468,6742839,133084,2017-05-04 17:01:34
859924526012018688,20108,4308,6742839,133084,2017-05-04 00:15:58
859851578198683649,15845,3683,6742839,133084,2017-05-03 19:26:06
859607811541651456,19140,1657,6742839,133084,2017-05-03 03:17:27
859196978902773760,92779,31887,6742839,133084,2017-05-02 00:04:57
859074603037188101,34949,14363,6742839,133084,2017-05-01 15:58:40
858860390427611136,0,8566,6742839,133084,2017-05-01 01:47:28
858843525470990336,16034,3667,6742839,133084,2017-05-01 00:40:27
858471635011153920,22199,5105,6742839,133084,2017-04-30 00:02:42
858107933456039936,16236,3074,6742839,133084,2017-04-28 23:57:28
857989990357356544,16641,2726,6742839,133084,2017-04-28 16:08:49
857746408056729600,35386,11207,6742839,133084,2017-04-28 00:00:54
857393404942143489,6118,1725,6742839,133084,2017-04-27 00:38:11
857263160327368704,20659,4784,6742839,133084,2017-04-26 16:00:39
857214891891077121,238,20,6742839,133084,2017-04-26 12:48:51
857062103051644929,0,179,6742839,133084,2017-04-26 02:41:43
857029823797047296,19571,4237,6742839,133084,2017-04-26 00:33:27
856602993587888130,0,11319,6742839,133084,2017-04-24 20:17:23
856543823941562368,16859,3051,6742839,133084,2017-04-24 16:22:16
856526610513747968,12237,1998,6742839,133084,2017-04-24 15:13:52
856330835276025856,0,717,6742839,133084,2017-04-24 02:15:55
856288084350160898,534,17,6742839,133084,2017-04-23 23:26:03
856282028240666624,28642,6688,6742840,133084,2017-04-23 23:01:59
855862651834028034,362,28,6742840,133084,2017-04-22 19:15:32
855860136149123072,5117,1100,6742840,133084,2017-04-22 19:05:32
855857698524602368,12261,2248,6742840,133084,2017-04-22 18:55:51
855851453814013952,47097,18745,6742840,133084,2017-04-22 18:31:02
855818117272018944,27582,5782,6742840,133084,2017-04-22 16:18:34
855459453768019968,31108,8753,6742840,133084,2017-04-21 16:33:22
855245323840757760,0,6361,6742840,133084,2017-04-21 02:22:29
855138241867124737,0,49,6742840,133084,2017-04-20 19:16:59
854732716440526848,23762,6510,6742840,133084,2017-04-19 16:25:34
854482394044301312,30554,7356,6742840,133084,2017-04-18 23:50:52
854365224396361728,19681,5019,6742840,133084,2017-04-18 16:05:17
